Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_Searchitem_Wishlist_Testsuite_002,Chrome 120.0.0.0,,,20-01-2024 19:06:09,20-01-2024 19:07:50,1m - 40.261s,PASSED
,,,,,,,
Test Cases/Amazon/TC_Aamzon_Validate_Wishlist item-005,Chrome 120.0.0.0,,,20-01-2024 19:06:10,20-01-2024 19:07:21,1m - 11.211s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,20-01-2024 19:06:10,20-01-2024 19:06:12,2.412s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 120.0.0.0,,,20-01-2024 19:06:12,20-01-2024 19:06:14,1.558s,PASSED
"setText(findTestObject(""Object Repository/Amazon_Pages_Add to Wishlist_OR/Page_Amazon.com/input_field-keywords""), ""LACNMU"")",Chrome 120.0.0.0,,,20-01-2024 19:06:14,20-01-2024 19:06:15,1.040s,PASSED
"click(findTestObject(""Object Repository/Amazon_Pages_Add to Wishlist_OR/Page_Amazon.com/button_Continue shopping""))",Chrome 120.0.0.0,,,20-01-2024 19:06:15,20-01-2024 19:06:16,0.725s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Amazon_Pages_Add to Wishlist_OR/Page_Amazon.com. Spend less. Smile more/select_All Departments        Arts  Crafts _135c92""), ""search-alias=stripbooks-intl-ship"", true)",Chrome 120.0.0.0,,,20-01-2024 19:06:16,20-01-2024 19:06:43,27.571s,PASSED
"setText(findTestObject(""Object Repository/Amazon_Pages_Add to Wishlist_OR/Page_Amazon.com. Spend less. Smile more/input_field-keywords""), ""Da vinci code"")",Chrome 120.0.0.0,,,20-01-2024 19:06:43,20-01-2024 19:06:45,1.415s,PASSED
"click(findTestObject(""Object Repository/Amazon_Pages_Add to Wishlist_OR/Page_Amazon.com. Spend less. Smile more/inputnav-search-submit-button""))",Chrome 120.0.0.0,,,20-01-2024 19:06:45,20-01-2024 19:06:50,5.391s,PASSED
