Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_AddtoCart_MyOrder_TestSuite_003,Chrome 120.0.0.0,,,20-01-2024 19:09:03,20-01-2024 19:10:25,1m - 21.909s,PASSED
,,,,,,,
Test Cases/Amazon/TC_Amazon_Validate_Add to Cart-004,Chrome 120.0.0.0,,,20-01-2024 19:09:04,20-01-2024 19:09:55,51.579s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,20-01-2024 19:09:04,20-01-2024 19:09:06,2.178s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 120.0.0.0,,,20-01-2024 19:09:06,20-01-2024 19:09:08,1.484s,PASSED
"setText(findTestObject(""Object Repository/Amazon_Pages_Add to Cart_OR/Page_Amazon.com/input_field-keywords""), ""KXXTNX"")",Chrome 120.0.0.0,,,20-01-2024 19:09:08,20-01-2024 19:09:09,1.137s,PASSED
"click(findTestObject(""Object Repository/Amazon_Pages_Add to Cart_OR/Page_Amazon.com/button_Continue shopping""))",Chrome 120.0.0.0,,,20-01-2024 19:09:09,20-01-2024 19:09:10,0.936s,PASSED
"click(findTestObject(""Object Repository/Amazon_Pages_Add to Cart_OR/Page_Amazon.com. Spend less. Smile more/span_Hello, sign in""))",Chrome 120.0.0.0,,,20-01-2024 19:09:10,20-01-2024 19:09:23,13.470s,PASSED
"setText(findTestObject(""Object Repository/Amazon_Pages_Add to Cart_OR/Page_Amazon Sign-In/input_email""), ""sivakumarkottana2000@gmail.com"")",Chrome 120.0.0.0,,,20-01-2024 19:09:23,20-01-2024 19:09:24,1.121s,PASSED
"click(findTestObject(""Object Repository/Amazon_Pages_Add to Cart_OR/Page_Amazon Sign-In/inputcontinue""))",Chrome 120.0.0.0,,,20-01-2024 19:09:24,20-01-2024 19:09:26,1.918s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Amazon_Pages_Add to Cart_OR/Page_Amazon Sign-In/input_password""), ""DTj8m5Ry/xZVxpyMM/dUZQ=="")",Chrome 120.0.0.0,,,20-01-2024 19:09:26,20-01-2024 19:09:28,1.443s,PASSED
"click(findTestObject(""Object Repository/Amazon_Pages_Add to Cart_OR/Page_Amazon Sign-In/inputsignInSubmit""))",Chrome 120.0.0.0,,,20-01-2024 19:09:28,20-01-2024 19:09:28,0.466s,PASSED
