Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Amazon_Searchitem_Wishlist_Testsuite_002,Chrome 120.0.0.0,,,20-01-2024 19:31:24,20-01-2024 19:32:50,1m - 26.383s,PASSED
,,,,,,,
Test Cases/Amazon/TC_Aamzon_Validate_Wishlist item-005,Chrome 120.0.0.0,,,20-01-2024 19:31:24,20-01-2024 19:32:24,1m - 0.106s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,20-01-2024 19:31:25,20-01-2024 19:31:27,2.384s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 120.0.0.0,,,20-01-2024 19:31:27,20-01-2024 19:31:29,1.901s,PASSED
"setText(findTestObject(""Object Repository/Amazon_Pages_Add to Wishlist_OR/Page_Amazon.com/input_field-keywords""), ""LACNMU"")",Chrome 120.0.0.0,,,20-01-2024 19:31:29,20-01-2024 19:31:30,1.026s,PASSED
"click(findTestObject(""Object Repository/Amazon_Pages_Add to Wishlist_OR/Page_Amazon.com/button_Continue shopping""))",Chrome 120.0.0.0,,,20-01-2024 19:31:30,20-01-2024 19:31:31,0.859s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Amazon_Pages_Add to Wishlist_OR/Page_Amazon.com. Spend less. Smile more/select_All Departments        Arts  Crafts _135c92""), ""search-alias=stripbooks-intl-ship"", true)",Chrome 120.0.0.0,,,20-01-2024 19:31:31,20-01-2024 19:31:44,13.048s,PASSED
"setText(findTestObject(""Object Repository/Amazon_Pages_Add to Wishlist_OR/Page_Amazon.com. Spend less. Smile more/input_field-keywords""), ""Da vinci code"")",Chrome 120.0.0.0,,,20-01-2024 19:31:44,20-01-2024 19:31:46,1.900s,PASSED
"click(findTestObject(""Object Repository/Amazon_Pages_Add to Wishlist_OR/Page_Amazon.com. Spend less. Smile more/inputnav-search-submit-button""))",Chrome 120.0.0.0,,,20-01-2024 19:31:46,20-01-2024 19:31:52,6.390s,PASSED
"click(findTestObject(""Object Repository/Amazon_Pages_Add to Wishlist_OR/Page_Amazon.com  Da vinci code/span_The Da Vinci Code (Robert Langdon)""))",Chrome 120.0.0.0,,,20-01-2024 19:31:52,20-01-2024 19:32:02,10.069s,PASSED
"click(findTestObject(""Object Repository/Amazon_Pages_Add to Wishlist_OR/Page_The Da Vinci Code (Robert Langdon) Bro_e0923b/a_Add to List""))",Chrome 120.0.0.0,,,20-01-2024 19:32:02,20-01-2024 19:32:07,5.068s,PASSED
