Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DDT_Amazon_Categoryvalidation_testsuite,Chrome 120.0.0.0,,,21-01-2024 15:51:57,21-01-2024 15:56:59,5m - 1.662s,PASSED
,,,,,,,
Test Cases/Data_Driven_Testing/TC_Validation Amazon Category_Excel_001,Chrome 120.0.0.0,,,21-01-2024 15:51:57,21-01-2024 15:52:25,27.767s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,21-01-2024 15:51:57,21-01-2024 15:52:00,2.272s,PASSED
"navigateToUrl(""http://www.amazon.com"")",Chrome 120.0.0.0,,,21-01-2024 15:52:00,21-01-2024 15:52:01,1.236s,PASSED
"selectOptionByLabel(findTestObject(""Amazon_Category_validation_excel_OR/Page_Amazon.com. Spend less. Smile more/CategoryElement""), ""Books"", false)",Chrome 120.0.0.0,,,21-01-2024 15:52:01,21-01-2024 15:52:13,11.809s,PASSED
"setText(findTestObject(""Amazon_Category_validation_excel_OR/Page_Amazon.com. Spend less. Smile more/input_Search Amazon_field-keywords""), ""Da vinci code"")",Chrome 120.0.0.0,,,21-01-2024 15:52:13,21-01-2024 15:52:14,1.094s,PASSED
"click(findTestObject(""Amazon_Category_validation_excel_OR/Page_Amazon.com. Spend less. Smile more/input_Search Amazon_nav-search-submit-button""))",Chrome 120.0.0.0,,,21-01-2024 15:52:14,21-01-2024 15:52:25,10.740s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,21-01-2024 15:52:25,21-01-2024 15:52:25,0.320s,PASSED
,,,,,,,
Test Cases/Data_Driven_Testing/TC_Validation Amazon Category_Excel_001,Chrome 120.0.0.0,,,21-01-2024 15:52:25,21-01-2024 15:52:51,25.515s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,21-01-2024 15:52:25,21-01-2024 15:52:26,0.729s,PASSED
"navigateToUrl(""http://www.amazon.com"")",Chrome 120.0.0.0,,,21-01-2024 15:52:26,21-01-2024 15:52:28,1.812s,PASSED
"selectOptionByLabel(findTestObject(""Amazon_Category_validation_excel_OR/Page_Amazon.com. Spend less. Smile more/CategoryElement""), ""Books"", false)",Chrome 120.0.0.0,,,21-01-2024 15:52:28,21-01-2024 15:52:38,10.656s,PASSED
"setText(findTestObject(""Amazon_Category_validation_excel_OR/Page_Amazon.com. Spend less. Smile more/input_Search Amazon_field-keywords""), ""Da vinci code"")",Chrome 120.0.0.0,,,21-01-2024 15:52:38,21-01-2024 15:52:39,1.184s,PASSED
"click(findTestObject(""Amazon_Category_validation_excel_OR/Page_Amazon.com. Spend less. Smile more/input_Search Amazon_nav-search-submit-button""))",Chrome 120.0.0.0,,,21-01-2024 15:52:39,21-01-2024 15:52:50,10.827s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,21-01-2024 15:52:50,21-01-2024 15:52:51,0.283s,PASSED
,,,,,,,
Test Cases/Data_Driven_Testing/TC_Validation Amazon Category_Excel_001,Chrome 120.0.0.0,,,21-01-2024 15:52:51,21-01-2024 15:53:17,26.481s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,21-01-2024 15:52:51,21-01-2024 15:52:51,0.705s,PASSED
"navigateToUrl(""http://www.amazon.com"")",Chrome 120.0.0.0,,,21-01-2024 15:52:51,21-01-2024 15:52:53,1.829s,PASSED
"selectOptionByLabel(findTestObject(""Amazon_Category_validation_excel_OR/Page_Amazon.com. Spend less. Smile more/CategoryElement""), ""Books"", false)",Chrome 120.0.0.0,,,21-01-2024 15:52:53,21-01-2024 15:53:07,13.628s,PASSED
"setText(findTestObject(""Amazon_Category_validation_excel_OR/Page_Amazon.com. Spend less. Smile more/input_Search Amazon_field-keywords""), ""Da vinci code"")",Chrome 120.0.0.0,,,21-01-2024 15:53:07,21-01-2024 15:53:09,2.359s,PASSED
"click(findTestObject(""Amazon_Category_validation_excel_OR/Page_Amazon.com. Spend less. Smile more/input_Search Amazon_nav-search-submit-button""))",Chrome 120.0.0.0,,,21-01-2024 15:53:09,21-01-2024 15:53:17,7.713s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,21-01-2024 15:53:17,21-01-2024 15:53:17,0.225s,PASSED
,,,,,,,
Test Cases/Data_Driven_Testing/TC_Validation Amazon Category_Excel_001,Chrome 120.0.0.0,,,21-01-2024 15:53:17,21-01-2024 15:53:55,38.160s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,21-01-2024 15:53:17,21-01-2024 15:53:18,0.682s,PASSED
"navigateToUrl(""http://www.amazon.com"")",Chrome 120.0.0.0,,,21-01-2024 15:53:18,21-01-2024 15:53:20,1.794s,PASSED
